"PlayerId","Player","Team","Conference","Category","StatType","Stat"
"5153154","Tyler Robles","USC","Pac-12","kicking","PCT","0"
"4567506","Tahj Washington","USC","Pac-12","defensive","TOT","2"
"4431274","Korey Foreman","USC","Pac-12","defensive","SACKS","0"
"4430285","Deuce Palmer","USC","Pac-12","defensive","QB HUR","0"
"4372508","Jack Sullivan","USC","Pac-12","defensive","TOT","5"
"4875309","Denis Lynch","USC","Pac-12","kicking","FGA","14"
"5101117","Sam Greene","USC","Pac-12","defensive","SACKS","0"
"4602656","Eric Gentry","USC","Pac-12","defensive","TFL","3"
"4565305","Andrew Milek","USC","Pac-12","defensive","QB HUR","0"
"4431618","Mario Williams","USC","Pac-12","receiving","YPR","10.5"
"4569330","Austin Jones","USC","Pac-12","defensive","PD","0"
"4685244","Bear Alexander","USC","Pac-12","defensive","SACKS","1.5"
"4870847","Ja'Kobi Lane","USC","Pac-12","receiving","YPR","8.3"
"-7768"," Team","USC","Pac-12","rushing","YDS","-29"
"4431580","Miller Moss","USC","Pac-12","rushing","CAR","2"
"4428471","Bryson Shaw","USC","Pac-12","defensive","QB HUR","0"
"4430601","Kobe Pepe","USC","Pac-12","defensive","QB HUR","0"
"4569330","Austin Jones","USC","Pac-12","defensive","SOLO","1"
"4428471","Bryson Shaw","USC","Pac-12","defensive","SACKS","0"
"4875309","Denis Lynch","USC","Pac-12","defensive","PD","0"
"5101117","Sam Greene","USC","Pac-12","defensive","SOLO","0"
"4569330","Austin Jones","USC","Pac-12","rushing","YDS","417"
"4921312","Christian Pierce","USC","Pac-12","defensive","TD","0"
"4705853","Eddie Czaplicki","USC","Pac-12","punting","YDS","1833"
"4683061","Prophet Brown","USC","Pac-12","defensive","SOLO","2"
"4921312","Christian Pierce","USC","Pac-12","defensive","TFL","0"
"4870993","Braylan Shelby","USC","Pac-12","defensive","TD","0"
"4431274","Korey Foreman","USC","Pac-12","defensive","TD","0"
"4870612","Zachariah Branch","USC","Pac-12","puntReturns","YDS","309"
"4711055","Dorian Singer","USC","Pac-12","receiving","TD","3"
"4569135","Kyon Barrs","USC","Pac-12","defensive","TD","0"
"4870847","Ja'Kobi Lane","USC","Pac-12","receiving","LONG","12"
